row ID	ID	aveLog2CPM	log2CPM_A	log2CPM_B	FC	log2FC	PValue	adj.PValue
275	ENST00000562659	17.4042297824218	19.7887934499326	15.019666114911	0.758998579317737	-0.397830909659234	0.567036233940921	1.0
276	ENST00000570149	402.639828171424	414.199815399477	391.079840943372	0.94418159159775	-0.0828637394285412	0.569378038802899	1.0
277	ENST00000563032	27.2665006594847	24.6056487835263	29.9273525354431	1.21627975749535	0.282475102408889	0.569468807255128	1.0
278	ENST00000433866	2002.68389510922	1914.04574849344	2091.32204172499	1.09261862908506	0.127789926226079	0.570463987361531	1.0
279	ENST00000566995	93.0897886267034	87.232234471617	98.9473427817899	1.13429792760822	0.181799619320037	0.57519864031678	1.0
280	ENST00000564161	89.6683495024808	86.4658363799213	92.8708626250403	1.07407580280582	0.103095814992689	0.576964936624305	1.0
281	ENST00000566566	47.9214158196855	51.1007623705229	44.7420692688481	0.87556559223972	-0.191712833927754	0.577206988590689	1.0
282	ENST00000564652	222.762466881449	232.161999539398	213.362934223501	0.9190260880196	-0.121822279594702	0.578470602352436	1.0
283	ENST00000568064	40.1246146133286	36.9763598618211	43.2728693648361	1.17028473128628	0.226859581465973	0.579756966274027	1.0
284	ENST00000565571	2298.7904666699	2382.39953309114	2215.18140024866	0.929811045326426	-0.104990530997561	0.580795355640716	1.0
285	ENST00000564004	87.1693775711782	90.6846382910428	83.6541168513135	0.922472851276469	-0.1164216421481	0.583041392746604	1.0
286	ENST00000438180	65.900207828964	74.156618663699	57.6437969942289	0.777325045733869	-0.36341009366952	0.583393914051329	1.0
287	ENST00000566637	43.2799535129433	41.9409967536679	44.6189102722187	1.06384954402202	0.0892941306871387	0.585686691172789	1.0
288	ENST00000565624	744.627294156394	733.669458176403	755.585130136385	1.02987131563914	0.042464081206965	0.59131015100503	1.0
289	ENST00000562544	15.33796197075	16.1223770371078	14.5535469043921	0.902692380341626	-0.147693665283529	0.596555538884943	1.0
290	ENST00000565279	16.1819904080182	14.5891834676008	17.7747973484356	1.21835450132691	0.284933971416119	0.599928365793393	1.0
291	ENST00000268704	639.22800647674	662.970644921639	615.485368031841	0.928374993291882	-0.107220432114136	0.603309708784776	1.0
292	ENST00000564192	39.6697077839837	42.191123198119	37.1482923698483	0.880476497281413	-0.183643600436893	0.603420296223724	1.0
293	ENST00000353379	107.012891356489	100.993666526096	113.032116186882	1.11920004565509	0.162467926466603	0.603812831476915	1.0
294	ENST00000316853	12.5362727255322	11.5373013066556	13.5352441444089	1.17317245902217	0.230415108411301	0.609435944387886	1.0
295	ENST00000433976	54.5243939402025	57.4255093798812	51.6232785005238	0.898960741628349	-0.15366998147777	0.610023247648657	1.0
296	ENST00000312838	73.7397767372194	70.8500057638287	76.6295477106101	1.08157433276783	0.113132820020509	0.612362921188538	1.0
297	ENST00000551981	47.1583502821741	43.6018967689538	50.7148037953944	1.16313297249732	0.218016039026327	0.617167705280635	1.0
298	ENST00000561840	56.7411103315139	59.9282075058651	53.5540131571626	0.893636158764157	-0.162240532819118	0.617763058547031	1.0
299	ENST00000566229	130.309059063451	121.378427550558	139.239690576345	1.14715352131536	0.198058477333922	0.618726971931714	1.0
300	ENST00000353170	27.9671749167958	26.1979928447796	29.736356988812	1.13506241355957	0.182771629020352	0.618968962495156	1.0
301	ENST00000474606	115.023554164584	120.65136696014	109.395741369028	0.906709506284908	-0.14128768412269	0.623366387270369	1.0
302	ENST00000567525	195.618316048697	190.222081579146	201.014550518247	1.0567361520256	0.0796152067288747	0.624812745790507	1.0
303	ENST00000566115	108.121433568238	110.343067260745	105.899799875731	0.959732246933882	-0.0592961264495047	0.627180475159874	1.0
304	ENST00000569017	106.378663494483	108.828621328271	103.928705660695	0.954975854625635	-0.0664638380240287	0.628891810679123	1.0
305	ENST00000565079	16.4948484446521	15.4833824689887	17.5063144203154	1.13065181044118	0.1771547129798	0.633109648020104	1.0
306	ENST00000562224	16.1703810255627	17.830158308315	14.5106037428105	0.81382360671714	-0.297211965373021	0.634310631845917	1.0
307	ENST00000562981	21.6349997706709	23.0316680792845	20.2383314620572	0.87871757236117	-0.186528550027306	0.636622975888327	1.0
308	ENST00000565370	23.5536877726849	24.4256740498446	22.6817014955252	0.928600842262916	-0.106869505423687	0.639745941006577	1.0
309	ENST00000472018	187.015538102094	190.350883303563	183.680192900624	0.964955821127968	-0.0514652023497613	0.64121074869021	1.0
310	ENST00000472168	90.0398475643653	92.5484437506802	87.5312513780504	0.945788473913772	-0.080410534746082	0.642766294075085	1.0
311	ENST00000567241	113.308450294806	116.502666260152	110.114234329461	0.945164929389468	-0.0813619961877229	0.643650550985542	1.0
312	ENST00000566903	61.089766028834	56.5461247336126	65.6334073240554	1.16070566521141	0.215002176186789	0.643950114279977	1.0
313	ENST00000569770	297.387385977486	307.02810668324	287.746665271731	0.937199751450111	-0.0935715232959376	0.644243804620378	1.0
314	ENST00000565149	189.139576683361	181.561572072568	196.717581294154	1.08347586468093	0.115667016566835	0.64531014345483	1.0
315	ENST00000565123	38.5746486330246	35.034746052094	42.1145512139552	1.20207953416685	0.26553235341356	0.646466079706105	1.0
316	ENST00000566918	11.2859703075827	12.6526423899014	9.91929822526407	0.783970487712598	-0.351128749261257	0.649210516558503	1.0
317	ENST00000565650	16.3174992625876	17.7848419892762	14.8501565358989	0.834989512127977	-0.260170018134183	0.652363540929992	1.0
